Total syscall: 295
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: 19f4fc
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: 19f234
[NtFreeVirtualMemory]: 0x1e Arg: 19f4fc
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: 19f234
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19eeec
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtFreeVirtualMemory]: 0x1e Arg: 19f4fc
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
